ICAO,IATA,Name,Type,Municipality
YPAD,ADL,Adelaide International Airport,Large airport,Adelaide
YABA,ALH,Albany Airport,Medium airport,Albany
YMAY,ABX,Albury Airport,Medium airport,Albury
YBAS,ASP,Alice Springs Airport,Medium airport,Alice Springs
YAPH,ABH,Alpha Airport,Medium airport,Alpha
YARA,ARY,Ararat Airport,Medium airport,Ararat
YARM,ARM,Armidale Airport,Medium airport,Armidale
YMAV,AVV,Avalon Airport,Medium airport,Melbourne
YAYE,AYQ,Ayers Rock Connellan Airport,Medium airport,Ayers Rock
YBNS,BSJ,Bairnsdale Airport,Medium airport,Victoria
YBNA,BNK,Ballina Byron Gateway Airport,Medium airport,Ballina
YBRN,BZD,Balranald Airport,Medium airport,Balranald
YBAR,BCI,Barcaldine Airport,Medium airport,Barcaldine
YBTH,BHS,Bathurst Airport,Medium airport,Bathurst
YBTI,BRT,Bathurst Island Airport,Medium airport,Wurrumiyanga
YBIE,BEU,Bedourie Airport,Medium airport,Queensland
YBLA,BLN,Benalla Airport,Medium airport,Benalla
YBDV,BVI,Birdsville Airport,Medium airport,Shire of Diamantina
YBCK,BKQ,Blackall Airport,Medium airport,Blackall
YBTR,BLT,Blackwater Airport,Medium airport,Queensland
YBOU,BQL,Boulia Airport,Medium airport,Queensland
YBKE,BRK,Bourke Airport,Medium airport,New South Wales
YBRW,BWQ,Brewarrina Airport,Medium airport,Brewarrina
YBBN,BNE,Brisbane International Airport,Large airport,Brisbane
YBHI,BHQ,Broken Hill Airport,Medium airport,Broken Hill
YBRM,BME,Broome International Airport,Medium airport,Broome
YBUD,BDB,Bundaberg Airport,Medium airport,Bundaberg
YBCS,CNS,Cairns International Airport,Medium airport,Cairns
YSCN,CDU,Camden Airport,Medium airport,Sydney
YSCB,CBR,Canberra International Airport,Large airport,Canberra
YCAR,CVQ,Carnarvon Airport,Medium airport,Carnarvon
YCDU,CED,Ceduna Airport,Medium airport,Flinders
YBCV,CTL,Charleville Airport,Medium airport,Charleville
YCCA,CCL,Chinchilla Airport,Medium airport,Chinchilla
YCMT,CMQ,Clermont Airport,Medium airport,Clermont
YCEE,CVC,Cleve Airport,Medium airport,Cleve
YCCY,CNJ,Cloncurry Airport,Medium airport,Cloncurry
YCBA,CAZ,Cobar Airport,Medium airport,New South Wales
YCOE,CUQ,Coen Airport,Medium airport,Coen
YCFS,CFS,Coffs Harbour Airport,Medium airport,Coffs Harbour
YCBP,CPD,Coober Pedy Airport,Medium airport,Coober Pedy
YCKN,CTN,Cooktown Airport,Medium airport,Cooktown
YCOM,OOM,Cooma Snowy Mountains Airport,Medium airport,Cooma
YCBB,COJ,Coonabarabran Airport,Medium airport,Coonabarabran
YCNM,CNB,Coonamble Airport,Medium airport,New South Wales
YCTM,CMD,Cootamundra Airport,Medium airport,Cootamundra
YCOR,CWW,Corowa Airport,Medium airport,Corowa
YCRG,CYG,Corryong Airport,Medium airport,Corryong
YCWR,CWT,Cowra Airport,Medium airport,Cowra
YCMU,CMA,Cunnamulla Airport,Medium airport,Cunnamulla
YPDN,DRW,Darwin International Airport,Medium airport,Darwin
YDLQ,DNQ,Deniliquin Airport,Medium airport,Deniliquin
YDBY,DRB,Derby Airport,Medium airport,Derby
YDPO,DPO,Devonport Airport,Medium airport,Devonport
YDBI,DRN,Dirranbandi Airport,Medium airport,Dirranbandi
YSDU,DBO,Dubbo City Regional Airport,Medium airport,Dubbo
YDYS,DYA,Dysart Airport,Medium airport,Dysart
YECH,ECH,Echuca Airport,Medium airport,Echuca
YELD,ELC,Elcho Island Airport,Medium airport,Elcho Island
YEML,EMD,Emerald Airport,Medium airport,Emerald
YESP,EPR,Esperance Airport,Medium airport,Esperance
YFTZ,FIZ,Fitzroy Crossing Airport,Medium airport,Fitzroy Crossing
YFBS,FRB,Forbes Airport,Medium airport,Forbes
YFRT,FOS,Forrest Airport,Medium airport,Forrest
YGPT,GPN,Garden Point Airport,Medium airport,Pularumpi
YGEL,GET,Geraldton Airport,Medium airport,Geraldton
YGLA,GLT,Gladstone Airport,Medium airport,Gladstone
YGLI,GLI,Glen Innes Airport,Medium airport,Glen Innes
YBCG,OOL,Gold Coast Airport,Medium airport,Gold Coast
YGLB,GUL,Goulburn Airport,Medium airport,Goulburn
YPGV,GOV,Gove Airport,Medium airport,Nhulunbuy
YGFN,GFN,Grafton Airport,Medium airport,Grafton
